Year,Actor,Movie,Songs,Singer,Music Director,Director
1996,Kamal,Avvai Shanmughi,Kadhala Kadhala,"Hariharan, Sujatha",Deva,KS Ravikumar
1998,Kamal,Kaadhala Kaadhala,Kaasumela Kasuvandhu,"Kamal, Udit Narayanan",Karthik Raja,Singeetam Srinivas Rao
2000,Kamal,Hey Ram,Ram Ram,"Kamal, Shruthi",Ilayaraja,Kamal 
2000,Kamal,Hey Ram,Nee Partha,"Asha Bhonsle, Hariharan",Ilayaraja,Kamal 
2000,Kamal,Hey Ram,Isaiyil Thodangudama,Ajoy Chakraborthy,Ilayaraja,Kamal 
2000,Kamal,Thenali,Alangati Mazhai,"Kamal, Srinivas, Sujatha",AR Rahman,KS Ravikumar
2002,Kamal,Panchathanthiram,Vandhen Vandhen,"Sujatha, Nithyashree",Deva,KS Ravikumar
2003,Kamal,Anbe Sivam,Anbe Sivam ,"Kamal, Karthik",Vidyasagar,Sundar C
2003,Kamal,Anbe Sivam,Mouname Parvayai,SPB,Vidyasagar,Sundar C
2003,Kamal,Anbe Sivam,Naatukoru Seithi,Kamal,Vidyasagar,Sundar C
2003,Kamal,Anbe Sivam,Poovasam ,"Vijay Prakash, Sadhana Sargam",Vidyasagar,Sundar C
2004,Kamal,Virumandi,Unna Vida,"Kamal, Shreya Ghoshal",Ilayaraja,Kamal 
2004,Kamal,Virumandi,Mada Vilake,Kamal,Ilayaraja,Kamal 
2004,Kamal,Vasool Raja,Kaadu Thirandhu,"Hariharan, Sadhana Sargam",Bharadwaj,
2004,Kamal,Vasool Raja,Cheena Thaana,Grace,Bharadwaj,
2004,Kamal,Vasool Raja,Alwarapetai Aaluda,Kamal,Bharadwaj,
2006,Kamal,Vettaiyadu Vilaiyadu,Karka Karka,"Devan, Andrea, Tippu",Harris Jayaraj,Gautham Menon
2006,Kamal,Vettaiyadu Vilaiyadu,Partha Mudhal,"Bombay Jayashri, Unni Menon",Harris Jayaraj,Gautham Menon
2006,Kamal,Vettaiyadu Vilaiyadu,Manja Veyil,"Hariharan, Krish, Nakul",Harris Jayaraj,Gautham Menon
2006,Kamal,Vettaiyadu Vilaiyadu,Uyirile,"Mahalakshmi Iyer, Srinivas",Harris Jayaraj,Gautham Menon
2008,Kamal,Dasavatharam,Kallai Mattum,Hariharan,Himesh Reshamiya,KS Ravikumar
2008,Kamal,Dasavatharam,Mukundha Mukundha,"Sadhana Sargam, Kamal ",Himesh Reshamiya,KS Ravikumar
2008,Kamal,Dasavatharam,Ulaga Nayagan,Vinit Singh,Himesh Reshamiya,KS Ravikumar
2008,Kamal,Dasavatharam,Oh Ho Sanam,"Kamal, Mahalakshmi Iyer",Himesh Reshamiya,KS Ravikumar
2010,Kamal,Manmadhan Ambu,Who's The Hero,Andrea Jeremiah,DSP,KS Ravikumar
2010,Kamal,Manmadhan Ambu,Neela Vanam,"Kamal, Priya Himesh",DSP,KS Ravikumar
2013,Kamal,Vishwaroopam,Vishwaroopam,Suraj Jagan,Shankar-Ehsan-Loy,Kamal 
2013,Kamal,Vishwaroopam,Unnai Kanadha Naan,"Kamal, Shankar Mahadevan",Shankar-Ehsan-Loy,Kamal 
2023,Kamal,Vikram,Pathala Pathala,"Kamal, Anirudh",Anirudh,Lokesh Kanagaraj
2023,Kamal,Vikram,Porkonda Singam,Ravi G,Anirudh,Lokesh Kanagaraj
2023,Kamal,Vikram,Once Upon A Time,Anirudh,Anirudh,Lokesh Kanagaraj
1980,Mohan,Moodu Pani,En Iniya Pon Nilave,KJ Yesudas,Ilayaraja,Balu Mahendra
1980,Mohan,Nenjathai Kiladhe,Paruvame,"SPB, S Janaki",Ilayaraja,Mahendran 
1982,Mohan,Payanangal Mudivathilai,Yeh Aatha,SPB,Ilayaraja,R Sundarajan
1982,Mohan,Payanangal Mudivathilai,Ilaya Nila,SPB,Ilayaraja,R Sundarajan
1982,Mohan,Payanangal Mudivathilai,Mani Osai,"SPB, S Janaki",Ilayaraja,R Sundarajan
1982,Mohan,Payanangal Mudivathilai,Mudhal Mudhal,SPB,Ilayaraja,R Sundarajan
1982,Mohan,Payanangal Mudivathilai,Salaioram,"SPB, S Janaki",Ilayaraja,R Sundarajan
1982,Mohan,Payanangal Mudivathilai,Thogai Ilamayil,SPB,Ilayaraja,R Sundarajan
1982,Mohan,Payanangal Mudivathilai,Vaigarayil,SPB,Ilayaraja,R Sundarajan
1983,Mohan,Ilamai Kaalangal,Paadavanthathor,"KJ Yesudas, P Susheela",Ilayaraja,Manivannan
1983,Mohan,Ilamai Kaalangal,Ragavane Ramana,P Susheela,Ilayaraja,Manivannan
1983,Mohan,Ilamai Kaalangal,Eeramana Rojave,KJ Yesudas,Ilayaraja,Manivannan
1984,Mohan,Naa Paadum Padal,Devan Kovil,"SN Surendar, S Janaki",Ilayaraja,R Sundarajan
1984,Mohan,Naa Paadum Padal,Seer Kondu Vaa,"SPB, S Janaki",Ilayaraja,R Sundarajan
1984,Mohan,Naa Paadum Padal,Paadum Vanambadi,SPB,Ilayaraja,R Sundarajan
1985,Mohan,Udhaya Geetham,Sangeetha Megam,SPB,Ilayaraja,K Rangaraj
1985,Mohan,Udhaya Geetham,Paadu Nilave,"SPB, S Janaki",Ilayaraja,K Rangaraj
1985,Mohan,Udhaya Geetham,Thene Thenpandi,SPB,Ilayaraja,K Rangaraj
1986,Mohan,Thendrale Enai Thodu,Thendral Vandhu Ennai,"KJ Yesudas, S Janaki",Ilayaraja,CV Sridhar
1986,Mohan,Thendrale Enai Thodu,Kanmani Nee Vara,"KJ Yesudas, Uma Ramanan",Ilayaraja,CV Sridhar
1986,Mohan,Thendrale Enai Thodu,Pudhiya Poovithu,"SPB, S Janaki",Ilayaraja,CV Sridhar
1985,Mohan,Kunguma Chimil,Nilavu Thoongum Neram,"SPB, S Janaki",Ilayaraja,R Sundarajan
1985,Mohan,Idaya Kovil,Idhayam Oru Kovil,Ilayaraja,Ilayaraja,Mani Ratnam
1985,Mohan,Idaya Kovil,Yaar Veetil Roja,SPB,Ilayaraja,Mani Ratnam
1985,Mohan,Idaya Kovil,Paatu Thalaivan ,"SPB, S Janaki",Ilayaraja,Mani Ratnam
1985,Mohan,Idaya Kovil,Naan Paadum Mounaragam,SPB,Ilayaraja,Mani Ratnam
1985,Mohan,Idaya Kovil,Vaanuyarntha Solaiyile,SPB,Ilayaraja,Mani Ratnam
1986,Mohan,Mouna Ragam,Nilave Vaa,SPB,Ilayaraja,Mani Ratnam
1986,Mohan,Mouna Ragam,Chinna Chinna Vanna Kuyil,S Janaki,Ilayaraja,Mani Ratnam
1986,Mohan,Mouna Ragam,Pani Vizhum Iravu,"SPB, S Janaki",Ilayaraja,Mani Ratnam
1986,Mohan,Mouna Ragam,Mandram Vandha ,SPB,Ilayaraja,Mani Ratnam
1986,Mohan,Mella Thirandadhu Kadhavu,Vaa Vennila ,"SPB, S Janaki",MSV,R Sundarajan
1986,Mohan,Mella Thirandadhu Kadhavu,Thedum Kan Parvai,"SPB, S Janaki",MSV,R Sundarajan
1986,Mohan,Mella Thirandadhu Kadhavu,Ooru Sanam,S Janaki,MSV,R Sundarajan
1986,Mohan,Mella Thirandadhu Kadhavu,Kuzhaloodhum Kananuku,Chitra,Ilayaraja,R Sundarajan
1987,Mohan,Rettai Vaal Kuruvi,Raja Raja Cholan,KJ Yesudas,Ilayaraja,CV Sridhar
1987,Mohan,Rettai Vaal Kuruvi,Kannan Vanthu Padugindran,S Janaki,Ilayaraja,CV Sridhar
1987,Mohan,Paadu Nilave,Malaiyoram Veesum,SPB,Ilayaraja,K Rangaraj
